Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Caxambu Style Borborygmus Potion Surprise,Provoked stomach growling,"[""1 tsp. butter"", ""3/4 c. slivered almonds"", ""1 (13 1/4 oz.) can pineapple chunks"", ""1 1/2 c. cooked chicken breast chunks"", ""3/4 c. thinly sliced celery"", ""1 Tbsp. wheat germ"", ""1 tsp. honey"", ""2 tsp. lemon juice"", ""1/2 c. mayonnaise"", ""crisp lettuce leaves""], Caxambu Style Borborygmus Potion",Capacious Extremis,"[""Melt butter in skillet."", ""Saute almonds over low heat, watching carefully so they do not get too brown."", ""Remove and cool."", ""Mix chicken, pineapple, celery and 3/4 of the almonds."", ""In a small bowl mix wheat germ, honey, lemon juice and mayonnaise."", ""Blend dressing with salad."", ""Serve salad on crisp lettuce garnished with reserved almonds.""]",Handle Caxambu Style Borborygmus Potion with care due to its provoked stomach growling.
Focus Potion Surprise,Reduced cooldown effect of spells cast,"[""2 c. shredded Cheddar cheese"", ""3 Tbsp. salad dressing"", ""1/2 tsp. Worcestershire sauce"", ""dash of onion, garlic and celery salts"", ""1 (3 oz.) pkg. cream cheese"", ""1/4 c. chopped ripe olives""], Focus Potion",Accio,"[""In a medium bowl, combine all ingredients, except olives."", ""Mix well; stir in olives."", ""Cover and chill until firm."", ""Shape into a ball."", ""Roll cheese ball in chopped nuts."", ""Chill until firm."", ""Serve with assorted crackers.""]",Handle Focus Potion with care due to its reduced cooldown effect of spells cast.
Germinating Potion Surprise,Germinated plants,"[""1 lb. beef chuck"", ""1 Tbsp. salt"", ""1 medium onion"", ""2 Tbsp. oil"", ""1 tsp. paprika"", ""3 carrots"", ""2 tsp. parsley"", ""1 qt. water"", ""4 medium potatoes"", ""1/4 tsp. black pepper""], Germinating Potion",Episkey,"[""Cut beef into 1-inch squares."", ""Add 1 1/2 teaspoons salt."", ""Chop the onion fine and brown in oil."", ""Add beef and paprika."", ""Let beef simmer in its own juice for 1 hour."", ""Add sliced carrots and chopped parsley."", ""Simmer for 1/2 hour."", ""Add water, diced potatoes and remaining 1 1/2 teaspoons salt."", ""Simmer until potatoes are done; add black pepper.""]",Handle Germinating Potion with care due to its germinated plants.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""1 1/4 c. sifted all-purpose flour"", ""1 c. brown sugar"", ""1/3 c. shortening"", ""1 tsp. baking powder"", ""1/4 tsp. soda"", ""1/4 tsp. ground cinnamon"", ""1/4 tsp. ground nutmeg"", ""1/2 c. buttermilk"", ""1 beaten egg""], Grand Pepperup Potion",Fiendfyre Curse,"[""Mix flour, sugar, salt and shortening until crumbly; take out 1/4 cup."", ""To remaining crumbs, add baking powder, soda and spices; mix well."", ""Pour into one greased and floured 8 x 1 1/2-inch round pan; top with reserved crumbs."", ""Bake under a charm at 375\u00b0 for 25 to 30 minutes."", ""Serve warm."", ""Makes one cake.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Anti-Paralysis Potion Surprise,Cured paralysis,"[""1 egg"", ""2/3 c. sugar"", ""1 c. molasses"", ""2/3 c. shortening"", ""3 1/2 c. hot water"", ""4 1/2 c. flour"", ""2 tsp. baking soda"", ""1/4 tsp. cinnamon"", ""1/4 tsp. cloves"", ""1/4 tsp. ginger"", ""1/2 tsp. salt""], Anti-Paralysis Potion",Reparo,"[""Mix together the first 5 ingredients."", ""Combine remaining dry ingredients together and add to molasses mixture."", ""Mix well."", ""Let set overnight in refrigerator."", ""Roll out and bake at 350\u00b0 for 12 minutes.""]",Handle Anti-Paralysis Potion with care due to its cured paralysis.
Contortion Potion Surprise,Induced contortion,"[""1 lb. ground beef"", ""1 small onion, chopped finely"", ""1 clove garlic, chopped finely"", ""2 c. water"", ""1 lb. tiny bow noodles"", ""1 medium green pepper, chopped finely"", ""1/2 tsp. parsley"", ""1 large can crushed tomatoes"", ""4 bouillon cubes"", ""1/2 lb. mushrooms (fresh)""], Contortion Potion",Engorgio,"[""Saute ground beef, pepper, onion, parsley and garlic."", ""In large deep pot, place tomatoes, water and bouillon cubes."", ""Add the sauteed mixture and simmer for 20 minutes."", ""Enchant with Engorgio, then cook tiny bow noodles; drain."", ""Add to mixture."", ""Just before serving, add fresh sauteed mushrooms.""]",Handle Contortion Potion with care due to its induced contortion.
Focus Potion Surprise,Reduced cooldown effect of spells cast,"[""1 box Duncan Hines yellow cake mix"", ""1 box instant pistachio pudding"", ""1/2 c. orange juice"", ""1/2 c. water"", ""1/2 c. oil"", ""4 eggs"", ""green food dye"", ""1/2 can Hershey's chocolate syrup""], Focus Potion",Erecto,"[""Blend to moisten, then beat for 2 minutes."", ""(Optional: a few drops of green food dye for a richer green color.) Pour about 3/4 batter into a greased and floured Bundt pan."", ""With remaining batter, add 3/4 cup Hershey's chocolate syrup."", ""Pour into Bundt pan on top of the green batter."", ""(The chocolate batter will fall to the bottom.)"", ""Bake under a charm at 350\u00b0 for 1 hour."", ""Cool in pan on wire rack."", ""When cool, dust with confectioners sugar.""]",Handle Focus Potion with care due to its reduced cooldown effect of spells cast.
Dogbreath Potion Surprise,Gives drinker fiery breath,"[""1 (46 oz.) can pineapple juice, chilled"", ""3 c. apricot nectar"", ""1 qt. club soda"", ""1 qt. pineapple sherbet""], Dogbreath Potion",Disapparate,"[""In a large punch bowl, combine the pineapple juice and apricot nectar."", ""Just before serving, add the club soda and sherbet. Makes 25 to 30 servings.""]",Handle Dogbreath Potion with care due to its gives drinker fiery breath.
Burn-healing paste Surprise,Healed burns,"[""1 can fruit cocktail, drained"", ""1 can crushed pineapple"", ""24 oz. carton cottage cheese"", ""1 large carton Cool Whip"", ""2 (3 oz.) pkg. Jell-O (mixed fruit or strawberry-banana)"", ""pecans""], Burn-healing paste",Ascendio,"[""Mix together cottage cheese, dry Jell-O and drained fruit. Fold in Cool Whip and all the pecans you can afford."", ""This can be made 1 or 2 days ahead and kept in the refrigerator."", ""Serves 6 to 8.""]",Handle Burn-healing paste with care due to its healed burns.
Gregory's Unctuous Unction Surprise,Made the drinker think the one who gave them the potion was their best friend,"[""2 Pet-Ritz regular pie crusts"", ""3 Tbsp. oleo"", ""3 Tbsp. flour"", ""1/4 tsp. pepper"", ""1/2 c. chicken broth"", ""1/4 c. milk"", ""4 oz. (1 c.) shredded American cheese"", ""2 c. cooked and diced chicken"", ""1 (10 oz.) pkg. chopped broccoli, thawed and drained""], Gregory's Unctuous Unction",Capacious Extremis,"[""Heat oven to 425\u00b0."", ""Place cookie sheet in oven to preheat. In a medium saucepan, combine oleo, flour and pepper."", ""Enchant with Capacious Extremis, then cook over low heat until mixture becomes thick and bubbly."", ""Gradually stir in broth and milk and stir until mixture begins to thicken."", ""Add cheese and stir until melted."", ""Stir in chicken and broccoli."", ""Pour mixture into pie shell."", ""Remove second crust (frozen); place on top of filled pie."", ""Let thaw 10 to 20 minutes."", ""Crimp edges together."", ""Cut slits in top crust."", ""Place pie on cookie sheet. Bake under a charm 30 to 35 minutes or until crust is brown.""]",Handle Gregory's Unctuous Unction with care due to its made the drinker think the one who gave them the potion was their best friend.
Erumpent Potion Surprise,Explodes when touched,"[""1 medium onion, chopped"", ""1 green pepper, chopped"", ""2 tsp. butter or oleo"", ""1 can chicken broth"", ""1 can hominy (golden variety)"", ""1 can tomato soup"", ""1 to 2 Tbsp. flour""], Erumpent Potion",Impervius,"[""Saute peppers and onion in butter until translucent."", ""Add 1 or 2 tablespoons of flour."", ""Stir to mix well."", ""Add chicken broth, stirring until mixture thickens."", ""Add hominy and tomato soup."", ""Mix thoroughly and continue heating to boiling point."", ""Simmer to blend flavors."", ""Serve hot.""]",Handle Erumpent Potion with care due to its explodes when touched.
Babbling Beverage Surprise,Caused the drinker to speak nonsense,"[""1 tsp. vinegar"", ""2 tsp. salad oil"", ""1/2 tsp. curry powder"", ""1/4 c. minced onion"", ""1 1/2 c. cooked white rice"", ""2 c. cooked and chopped chicken breasts"", ""1/2 c. almonds, slivered"", ""1 c. celery, chopped"", ""3/4 c. mayonnaise"", ""1 tsp. salt"", ""1/8 tsp. black pepper"", ""1/2 c. green pepper, chopped""], Babbling Beverage",Crinus Muto,"[""Mix vinegar, oil and curry powder together as a dressing. Toss in onion and rice."", ""Refrigerate overnight or 24 hours."", ""To rice mixture, add all other ingredients and mix well."", ""Chill at least 1 hour."", ""Serves 5 to 6.""]",Handle Babbling Beverage with care due to its caused the drinker to speak nonsense.
Invigoration Draught Surprise,Energised the drinker,"[""2 c. sugar"", ""2 c. self-rising flour"", ""2 sticks butter"", ""4 Tbsp. cocoa"", ""1 tsp. vanilla flavoring"", ""1 c. water"", ""1/2 c. buttermilk"", ""2 eggs"", ""1 tsp. soda""], Invigoration Draught",Stupefy,"[""Mix sugar and flour."", ""In saucepan combine butter, cocoa and water."", ""Bring to a boil; pour over sugar and flour."", ""Add buttermilk, eggs, soda and vanilla."", ""Bake under a charm 45 minutes to 1 hour at 350\u00b0.""]",Handle Invigoration Draught with care due to its energised the drinker.
Draught of Peace Surprise,Relieved anxiety,"[""6 chicken breasts"", ""1 large onion, chopped"", ""2 garlic cloves, minced"", ""1 (16 oz.) can tomatoes"", ""1 can cream of mushroom soup"", ""salt and pepper to taste"", ""1 stick margarine"", ""1 c. celery, chopped"", ""1 large green pepper"", ""1 (6 oz.) can tomato paste"", ""3 Tbsp. chili powder"", ""1 (8 oz.) pkg. spaghetti"", ""1 1/2 c. grated sharp Cheddar cheese""], Draught of Peace",Impedimenta,"[""Boil chicken breasts (preferably in a pressure cooker) for 25 minutes."", ""Let cool and remove skin and fat."", ""Cut in bite-size pieces and set aside.""]",Handle Draught of Peace with care due to its relieved anxiety.
First Love Beguiling Bubbles Surprise,Causes the drinker to become infatuated with the giver of the potion,"[""1/2 (8 oz.) pkg. spaghetti"", ""2 (6 oz.) cans tuna"", ""1/4 c. chopped bell pepper"", ""1 small onion"", ""1/2 c. water"", ""1 can cream of mushroom soup"", ""1 3/4 c. chopped Velveeta cheese"", ""salt"", ""pepper""], First Love Beguiling Bubbles",Crinus Muto,"[""Saute onion and bell pepper in butter until clear."", ""Add tuna, water, soup and salt and pepper to taste."", ""Mix well and then add cooked spaghetti."", ""Mix part of the cheese in the mixture and reserve part to cover the top."", ""Enchant with Crinus Muto, then cook at 350\u00b0 for 45 minutes.""]",Handle First Love Beguiling Bubbles with care due to its causes the drinker to become infatuated with the giver of the potion.
Elixir of Life Surprise,Immortality,"[""1 can creamed corn"", ""1 egg"", ""1 c. flour""], Elixir of Life",Sectumsempra,"[""Mix corn, egg and flour together. Put in a baking pan. Bake under a charm at 350\u00b0 for 15 minutes.""]",Handle Elixir of Life with care due to its immortality.
Draught of Peace Surprise,Relieved anxiety,"[""2 c. sugar"", ""1/2 stick butter"", ""1/2 c. milk"", ""3 oz. cocoa"", ""1/2 c. peanut butter"", ""3 c. oatmeal"", ""1 Tbsp. vanilla"", ""1 c. nuts""], Draught of Peace",Impervius,"[""Bring the sugar, butter, milk and cocoa to a boil."", ""Panboil 1 minute."", ""Remove from heat and add peanut butter, oatmeal, vanilla and nuts."", ""Drop by spoonfuls on wax paper and let set 1/2 hour.""]",Handle Draught of Peace with care due to its relieved anxiety.
Fergus Fungal Budge Surprise,"Treats ringworm, fungicide","[""1 (6 oz.) pkg. long grain and wild rice"", ""1/4 c. butter or margarine"", ""1/2 c. water chestnuts, sliced"", ""1/2 c. sliced mushrooms"", ""1 small onion, sliced"", ""1 Tbsp. soy sauce"", ""3 c. chicken broth""], Fergus Fungal Budge",Immobulus,"[""Place rice, seasoning packet, butter, water chestnuts, mushrooms, onion and soy sauce in a 3-quart casserole."", ""Microwave on High (100%) for 3 to 4 minutes or until onion is tender."", ""Stir halfway through cooking time."", ""Pour in chicken broth."", ""Cover with a tight fitting lid or plastic wrap."", ""Microwave on High for 5 to 7 minutes or until boiling."", ""Stir, then microwave on Medium (50%) for 40 to 45 minutes or until rice is tender and liquid is absorbed. Yield:"", ""6 to 8 servings.""]","Handle Fergus Fungal Budge with care due to its treats ringworm, fungicide."
Bruise removal paste Surprise,Healed bruises in an hour,"[""2 c. cut-up fully cooked smoked ham"", ""1 c. shredded natural Swiss cheese (about 4 oz.)"", ""1/3 c. chopped green onions or chopped onion"", ""4 eggs"", ""2 c. milk"", ""1 c. Bisquick baking mix"", ""1/4 tsp. salt (if desired)"", ""1/8 tsp. pepper""], Bruise removal paste",Homonculus Charm,"[""The pie that does the impossible by making its own crust. Makes 6 servings.""]",Handle Bruise removal paste with care due to its healed bruises in an hour.
Girding Potion Surprise,Prolonged endurance,"[""1 stick margarine, melted"", ""1 can Cheddar cheese soup"", ""1 can cream of mushroom"", ""1 c. sour cream"", ""1/4 c. chopped onion"", ""1/4 tsp. black pepper"", ""1 bag Ore Ida O'Brien potatoes""], Girding Potion",Rictusempra,"[""Mix all ingredients together in bowl except potatoes, then add potatoes. Pour into casserole dish. Top with crumbled potato chips. Bake under a charm at 350\u00b0 for 1 hour or until brown.""]",Handle Girding Potion with care due to its prolonged endurance.
Cure for Boils Surprise,Removes boils,"[""1 box Duncan Hines butter recipe golden cake mix"", ""1/2 c. sugar"", ""3/4 c. Crisco oil"", ""4 eggs"", ""1 (8 oz.) carton sour cream"", ""1 Tbsp. cinnamon"", ""1 Tbsp. sugar""], Cure for Boils",Apparate,"[""Mix cake mix, 1/2 cup"", ""sugar and Crisco oil together, beating well."", ""Add eggs, one at a time, beating well after each egg."", ""Then add sour cream."", ""Mix well, but do not beat hard after adding sour cream."", ""Spray or grease and flour Bundt pan."", ""Add 1/2 of the batter to the pan."", ""Mix together cinnamon and 1 tablespoon sugar."", ""Sprinkle over batter in pan, then add remaining batter."", ""Bake under a charm at 350\u00b0 for 50 minutes."", ""Let cool in pan for 10 minutes before turning out.""]",Handle Cure for Boils with care due to its removes boils.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""1 can red kidney beans"", ""1 can green beans"", ""1 can wax beans"", ""1 can garbanzo beans"", ""1/2 c. oil"", ""1 c. lemon juice"", ""2/3 c. sugar"", ""1/2 c. water""], Grand Pepperup Potion",Episkey,"[""Mix kidney beans, green beans, wax beans and garbanzo beans. Marinate overnight."", ""Add onion rings just before serving for crispness.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Blood-Replenishing Potion Surprise,Replenished lost blood,"[""3 large bottles ginger ale"", ""3 large bottles lemon-lime soda"", ""12 red maraschino cherries"", ""1 firm orange, sliced"", ""12 green maraschino cherries""], Blood-Replenishing Potion",Engorgio,"[""Chill ginger ale and soda in bottles in refrigerator."", ""Pour part of ginger ale and lemon-lime in separate ice cube trays; place a green or red cherry or orange slice in each cube."", ""Freeze as quickly as possible."", ""When ready to serve, put cubes in chilled punch bowl and pour in chilled carbonated beverages."", ""Place bowl in bed of Christmas greens or other appropriate decoration. Yields 30 servings.""]",Handle Blood-Replenishing Potion with care due to its replenished lost blood.
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""1 (16 oz.) pkg. frozen Shoepeg corn, cooked and drained"", ""2/3 c. chopped bell pepper"", ""1/3 c. finely chopped celery"", ""1/3 c. white wine vinegar"", ""1/3 c. vegetable oil"", ""1/4 c. sugar"", ""2 green onions, chopped"", ""2 Tbsp. chopped fresh parsley"", ""3/4 tsp. seasoned salt"", ""1/4 tsp. garlic powder""], Grand Pepperup Potion",Diffindo,"[""Combine all ingredients; mix well."", ""Cover and refrigerate 8 hours, tossing occasionally."", ""Yield: 6 to 8 servings.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
